text,label
New AI model beats human performance,Technology
The latest smartphone has amazing features,Technology
Football team wins championship match,Sports
Cricket world cup final was exciting,Sports
Government passes new education bill,Politics
Elections results declared by officials,Politics
Actor wins best performance award,Entertainment
New movie breaks all box office records,Entertainment
Machine learning is transforming industries,Technology
SpaceX launches new satellite successfully,Technology
Player scores hat-trick in final game,Sports
Olympics 2024 will be held in Paris,Sports
Prime Minister visits foreign countries,Politics
Political rally attracts large crowds,Politics
Singer releases a new album this week,Entertainment
TV show becomes top rated drama,Entertainment
